,long,lat,id,programa,actividad,sede,horarios,telefono,email,web,facebook,twitter,observacion,objeto,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
10,-58.4450355924432,-34.6687145029889,91,Núcleos deportivos,"Fútbol, Atletismo y Voley",Portal Lacarra,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lacarra,3500,,Villa Soldati,Comuna 8,1437,C1437CJP
11,-58.4771181850315,-34.6610438321253,90,Núcleos deportivos,Patín y Fútbol,Club Torino,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Zuviria,4663,,Villa Lugano,Comuna 8,1439,C1439BDG
12,-58.4642535090741,-34.6846624646255,89,Núcleos deportivos,Hóckey,Club de Jóvenes,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Soldado de la Frontera,5130,,Villa Lugano,Comuna 8,1439,C1439FPF
13,-58.4845982925053,-34.5489263132433,88,Núcleos deportivos,"Hóckey, Rugby y preparación física.",Barrio Mitre,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Melian,4400,,Saavedra,Comuna 12,1430,C1430EZN
14,-58.4346943700561,-34.6504240452732,87,Núcleos deportivos,"Iniciación deportiva, natación, patín y hockey",Corredera Perito Moreno,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Perito Moreno Av.,0,Torres y Tenorio,Flores,Comuna 7,,
15,-58.4742683580399,-34.6458530163093,82,Escuelas para personas con discapacidad,Colonia,Avellaneda,Sábados de 10 a 17 hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,LACARRA AV.,1257,,Parque Avellaneda,Comuna 9,1407,C1407JQY
16,-58.3974929109426,-34.5986640923955,77,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Plaza Houssay,Martes y Jueves de 19 a 20.30 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Paraguay,0,Junín,Recoleta,Comuna 2,,
17,-58.4447570185961,-34.6333528001075,75,Escuela de Guardavidas,Curso de Guardavidas,Parque Chacabuco,,4921- 5776,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"PERON, EVA AV.",1410,,Parque Chacabuco,Comuna 7,1406,C1406HMP
18,-58.3788251778848,-34.5825866506935,70,Núcleos deportivos,"Fútbol, básquet, hockey, tenis, defensa personal y voley",Barrio 31,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"PERETTE, CARLOS H.",0,CALLE 10 (NO OFICIAL),Retiro,Comuna 1,,
19,-58.4524896632636,-34.6572617796146,69,Núcleos deportivos,Fútbol.,Los Pinos,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,RIESTRA AV.,0,"ACOSTA, MARIANO",Villa Soldati,Comuna 8,,
20,-58.4535626956422,-34.6583206145091,68,Núcleos deportivos,Fútbol y Boxeo.,Fátima,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,riestra,0,martinez castro,Villa Soldati,Comuna 8,,
21,-58.4568607599854,-34.6560224521704,67,Núcleos deportivos,"Fútbol, fútbol mixto, boxeo, EFI y natación",Carrillo (C. A. Virgen Inmaculada),,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,MARTINEZ CASTRO,0,PASAJE E,Villa Soldati,Comuna 8,,
22,-58.488465793322,-34.6838351924454,65,Núcleos deportivos,Gimnasia para adultos,Inta,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,LOS ROBLES,0,"PAZ, GRAL. AV.",Villa Lugano,Comuna 8,,
23,-58.3972397483051,-34.65604430486,62,Núcleos deportivos,"Fútbol, Hockey y fútbol 5.",Barrio 21.24,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,ZAVALETA,1261,,Barracas,Comuna 4,1437,C1437EZG
24,-58.4432315437547,-34.6653460789199,61,Núcleos deportivos,Fútbol y Hockey,Soldati,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"ACOSTA, MARIANO",0,CORRALES,Villa Soldati,Comuna 8,,
25,-58.4528091113742,-34.6641151927132,60,Núcleos deportivos,básquet y voley,Piletones,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Barros Pazos, Jose",0,Lacarra Av.,Villa Soldati,Comuna 8,,
26,-58.4656942308449,-34.677322290005,59,Núcleos deportivos,"EFI, Taekwondo, béisbol, actividad rítmica, palestra, Boxeo, Fútbol (masc  y fem), Gimnasia artística y para adultos, Handball, frontball  Kung fu",Barrio 20,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,POLA,0,"CHILAVERT, MARTINIANO CORONEL",Villa Lugano,Comuna 8,,
27,-58.4734213433889,-34.6581386872391,58,Núcleos deportivos,"Hockey, Gimnasia para mujeres, Fútbol mixto fem y masc",Cildañez,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,WHITE,0,ZUVIRIA,Parque Avellaneda,Comuna 9,,
28,-58.4326351642506,-34.6498401279923,57,Núcleos deportivos,"Fútbol, Hockey, Taekwondo, Danza afroperuana y patín.",1.11.14,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,PERITO MORENO AV.,0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Flores,Comuna 7,,
29,-58.4405655877752,-34.6483936669929,56,Núcleos deportivos,"Basket, educación física infantil y Vóley.",Espacio Juan XXIII,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,RIESTRA AV.,0,"BONORINO, ESTEBAN, Cnel. AV.",Flores,Comuna 7,,
30,-58.3917220211727,-34.5847563847413,55,Buenos Aires Corre,Entrenamiento funcional,Derecho,"Lunes, Miércoles y Viernes de 19 a 21 horas",,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,DEL LIBERTADOR AV.,0,PUEYRREDÓN,Recoleta,Comuna 2,,
31,-58.4458774390678,-34.6366552958924,54,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Chacabuco,"Lunes, miércoles y viernes de 19 a 21hs",,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: Pista de atletismo (segunda curva).,PROGRAMAS DEPORTIVOS,CURAPALIGUE,0,ASAMBLEA,Parque Chacabuco,Comuna 7,,
32,-58.4354637643188,-34.5558337611212,53,Actividades deportivas en Plazas,"Gym Local, Streching",Palermo Golf,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,TORNQUIST,6397,"BELLO, ANDRES",Palermo,Comuna 14,1426,C1426CDA
33,-58.435119134997,-34.555072671215,52,Campo de Golf,Golf,,"Martes a domingo y feriados, de 7.30 a 17 hs.",4772-7261 / 4772-7576 / 4777-4621 / Reservas 4774-9158,,www.campogolfpalermo.com,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"TORNQUIST, ERNESTO AV.",6397,,Palermo,Comuna 14,1426,C1426CDA
34,-58.4446219519021,-34.6330474796311,50,Escuelas para personas con discapacidad,Colonia - iniciación deportiva,Chacabuco,Sábados de 10 a 17 hs - Sábados de 10 a 17 hs.,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"PERON, EVA AV.",1410,,Parque Chacabuco,Comuna 7,1406,C1406HMP
35,-58.4413264511414,-34.5507473651981,49,Escuelas para personas con discapacidad,Colonia // Teatro,Ramsay,Sábados de 10 a 17hs // Martes y viernes de 15 a 18.30 hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,RAMSAY,2250,,Belgrano,Comuna 13,1428,C1428BAJ
36,-58.4983017450076,-34.5533191814824,48,Escuelas para personas con discapacidad,Colonia,Sarmiento,Sábado de 10 a 17hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"BALBIN, RICARDO, DR. AV.",4750,,Saavedra,Comuna 12,1430,C1430ABS
37,-58.408503651009,-34.626199085774,47,Escuelas para personas con discapacidad,Colonia // iniciación deportiva y natación,Martin Fierro,Sábados de 10 a 17hs // Martes y Jueves de 15 a 18.30hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,ORURO,1300,,San Cristobal,Comuna 3,1243,C1243ADB
38,-58.3629096683915,-34.6091840750832,46,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Madero,Martes y Jueves de 19 a 20.30 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: En Parque Mujeres Argentinas (Juana Manso y Marta Lynch),PROGRAMAS DEPORTIVOS,MANSO JUANA,999,,Puerto Madero,Comuna 1,1107,C1107CBS
39,-58.4634503690315,-34.6914937102901,45,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Lugano,Martes y Jueves de 19 a 21 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: Plazoleta ubicada en Lisandro de la Torre y Roca,PROGRAMAS DEPORTIVOS,"ROCA, CNEL. AV.",0,"DE LA TORRE, LISANDRO",Villa Riachuelo,Comuna 8,,
40,-58.521450591447,-34.6280907201465,44,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Banff,Lunes y Miércoles de 19 a 21 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: Roma y Arregui (Pasillo central).,PROGRAMAS DEPORTIVOS,ROMA,0,ARREGUI AV.,Versalles,Comuna 10,,
41,-58.4362488642039,-34.6085116249814,43,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Parque Centenario,Martes y Jueves de 19 a 21 horas // Miércoles y Viernes de 8 a 10 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: Av. Díaz Vélez y Campichuelo.,PROGRAMAS DEPORTIVOS,DIAZ VELEZ AV.,0,CAMPICHUELO,Caballito,Comuna 6,,
42,-58.4118672685056,-34.5713688877929,42,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Rosedal,Martes y Jueves de 19 a 21 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,"Punto de encuentro: Sarmiento y Alcorta, kilómetro 1100 del recorrido interno",PROGRAMAS DEPORTIVOS,SARMIENTO AV.,0,FIGUEROA ALCORTA,Palermo,Comuna 14,,
43,-58.4353875950853,-34.5552666455679,41,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Palermo/Golf,Martes y Jueves de 8 a 10 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: Estación Saludable (Andrés Bello casi esquina Tornquist),PROGRAMAS DEPORTIVOS,Bello,0,Tornquist,Palermo,Comuna 14,,
44,-58.4774023051346,-34.5503093173608,40,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Parque Saavedra,Martes y Jueves de 19 a 21 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: García del Rio y Pinto,PROGRAMAS DEPORTIVOS,GARCIA DEL RIO,0,PINTO,Saavedra,Comuna 12,,
45,-58.5132664914039,-34.5991538443288,39,Buenos Aires Corre,"Running, Caminatas, Acondicionamiento Físico",Plaza Arenales,Martes y Jueves de 19 a 21 horas,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,Punto de encuentro: Plaza Arenales (frente a la biblioteca),PROGRAMAS DEPORTIVOS,MERCEDES,0,PAREJA,Villa Devoto,Comuna 11,,
46,-58.4983017450076,-34.5533191814824,38,Actividades deportivas en Polideportivos y Parques,G.A.F.-ATLETISMO-BADMINTON-TAEKWONDO-FÚTBOL-TENIS-LEVANTAMIENTO DE PESAS- JUDOGYM-ENTRENAMIENTO FUNCIONAL-NEWCOM-LUCHA-YOGA,Parque Sarmiento,,4547-0882,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"BALBIN, RICARDO, DR. AV.",4750,,Saavedra,Comuna 12,1430,C1430ABS
47,-58.4020893009709,-34.572731136222,37,Actividades deportivas en Polideportivos y Parques,COMPLEMENTOS-GIMNASIA ADULTOS-TENIS-PATÍN CARRERA-ENTRENAMIENTO FUNCIONAL-HOCKEY-VOLEY-FUTBOL-CICLISMO-CICLISMO ADAPTADO-TAEKWONDO-TENIS,Parque Manuel Belgrano (Ex-Kdt),,4807-7700,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"SALGUERO, JERONIMO",3450,,Recoleta,Comuna 2,1425,C1425DFS
48,-58.5132027229447,-34.6463388001918,36,Actividades deportivas en Polideportivos y Parques,BÁSQUET-EDUCACIÓN FÍSICA INFANTIL-ENTRENAMIENTO (funcional-alternativo)-FÚTBOL-G.A.P. - GIMNASIA (aerolocalizada-localizada)-HANDBALL-RITMOS LATINOS-TAEKWONDO-VOLEY-YOGA-INICIACIÓN DEPORTIVA-HOCKEY-TENIS,Polideportivo Santojanni,,4641-2462,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,PATRON,6222,,Liniers,Comuna 9,1408,C1408FAT
49,-58.4912160248886,-34.6221614981498,34,Actividades deportivas en Polideportivos y Parques,TENIS-GIMNASIA (modeladora-artística-rítmica-adultos mayores)-NEWCON-EFI-KARATE-FUTBOL-BASQUET-STRETCHING-HOCKEY-VOLEY (infantiles-adultos)-AJEDREZ-BADMINTON-FUTBOL INFANTIL-HANDBALL,Polideportivo Pomar,,4568-0184,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,MERCEDES,1300,,Floresta,Comuna 10,1407,C1407AHX
50,-58.389377921761,-34.6492732832182,33,Actividades deportivas en Polideportivos y Parques,FUTBOL (infantil-adolescente fem y masc-adultos)-AJEDREZ-RECREACIÓN-YOGA-GIMNASIA (modeladora y adultos mayores)-TENIS-BASQUET-EFI-HOCKEY-COORDINACION DEPORTIVA-HOCKEY,Polideportivo Pereyra,,4301-3700,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,VELEZ SARSFIELD AV.,1271,,Barracas,Comuna 4,1285,C1285AAB
51,-58.4088684927694,-34.6395551155708,32,Actividades deportivas en Polideportivos y Parques,TENIS ESPECIAL-GIMNASIA (adultos mayores-aeróbica-artística)-FÚTBOL (infantil-adolescentes)-MUSCULACIÓN-HANDBALL-CORO-GUITARRA-AERO-ZUMBA-TENIS-AJEDREZ-VOLEY-STRECHING-YOGA-EFI-FOLCLORE-BOXEO-BASQUET-TAEKWONDO,Polideportivo Patricios,,4911-4642,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,PEPIRI,135,,Parque Patricios,Comuna 4,1437,C1437EIC
52,-58.5137334703814,-34.5944651766389,31,Actividades deportivas en Polideportivos y Parques,AERO-LOCAL-TENIS-ENTRENAMIENTO FUNCIONAL-GIMNASIA AEROBICA-NEWCON-VOLEY-BASQUET-HANDBALL-HOCKEY-FUTBOL-GIMNASIA,Polideportivo Onega,,4504-2711,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"MISTRAL, GABRIELA",3819,,Villa Devoto,Comuna 11,1419,C1419GGI
53,-58.4084949761841,-34.6260899430967,30,Actividades deportivas en Polideportivos y Parques,NATACION-GIMNASIA (deportiva-localizada-adultos)-ENTRENAMIENTO FUNCIONAL-RITMOS,Polideportivo Martin Fierro,,4941-2054,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,ORURO,1300,,San Cristobal,Comuna 3,1243,C1243ADB
54,-58.495463994437,-34.6668066804633,29,Actividades deportivas en Polideportivos y Parques,FUTBOL-RUNNING-CROSSFIT- TENIS-AEROBICA-BASQUET-GIMNASIA ARTISTICA-ENTRENAMIENTO-VOLEY-EFI,Polideportivo Dorrego,,4687- 6823,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"DE LA TORRE, LISANDRO AV.",0,MONTE,Mataderos,Comuna 9,,
55,-58.3745294143178,-34.6468634873726,28,Actividades deportivas en Polideportivos y Parques,FUTBOL-TENIS-BASQUET-GIMNASIA (adultos-rítmica)-ENTRENAMIENTO FUNCIONAL-TALLER DE SALUD MENTAL-VOLEY-EFI-GIMNASIA RITMICA-PATIN ARTISTICO-HANDBALL-FUTBOL FEMENINO RECREATIVO,Polideportivo Don Pepe,,4302-1618,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"HORNOS, Gral.",1800,,Barracas,Comuna 4,1272,C1272ADJ
56,-58.4446219519021,-34.6330474796311,27,Actividades deportivas en Polideportivos y Parques,ATLETISMO-AJEDREZ-CORO-GIMNASIA (deportiva-adultos mayores-artística-funcional-localizada-correctiva-mixta)-TEATRO-MUSCULACION-NATACIÓN--AEROBIC JAZZ-AEROBOX-TAICHI-CAMINATA-AQUAGYM-PATIN ART.-FUTBOL-VOLEY -JUDO-DANZA-BOXEO RECREAT-TAEKWONDO-SUMO-FOLCLOR,Polideportivo Chacabuco,,4921- 5776,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"PERON, EVA AV.",1410,,Parque Chacabuco,Comuna 7,1406,C1406HMP
57,-58.4770060031226,-34.5916729729792,26,Actividades deportivas en Polideportivos y Parques,FUTBOL-GIMNASIA-TENIS-CORO-COMPLEMENTOS-LEVANTAMIENTO DE  PESAS,Polideportivo Costa Rica,,4521-8063,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,DE LOS CONSTITUYENTES AV.,3050,,Agronomia,Comuna 15,1427,C1427BLO
58,-58.4450007932735,-34.5793119175428,25,Actividades deportivas en Polideportivos y Parques,"BADMINTON, TENIS-GIM. (aeroloc.-localizada-adultos may)-PILATES-YOGA-STRETCHING-EFI-VOLEY (inicial-avanzado-adultos)-CAMINATA AERÓBICA-ACOND. FiS.-TALLER DE MEMORIA y FOLCLORE-BASQUET-FUTBOL (adolesc-niños-fem)-TAEKWONDO-SALSA Y MERENGUE-HANDBOL-ESGRIMA",Polideportivo Colegiales,,4555-7074,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"FREIRE, RAMON, CAP. GRAL.",234,,Colegiales,Comuna 13,1426,C1426AVF
59,-58.4743735952638,-34.6459469699825,24,Actividades deportivas en Polideportivos y Parques,FUTBOL-TAEKWONDO-TENIS-PATIN-EFI-ATLETISMO-GIMNASIA AEROBICA-GIMNASIA ARTISTICA-APOYO ESCOLAR-VOLEY-BASQUET-MUSCULACION-BOXEO,Polideportivo Avellaneda,,4671-5932,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,LACARRA AV.,1257,,Parque Avellaneda,Comuna 9,1407,C1407JQY
60,-58.3580818381718,-34.6171610198269,23,Actividades deportivas en Plazas,Ritmos,Costanera Sur,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,CALABRIA,0,"VERA PEÑALOZA, ROSARIO",Puerto Madero,Comuna 1,,
61,-58.3706958523403,-34.6256082572324,22,Actividades deportivas en Plazas,"Ritmos, Gym Local, Danzas Circulares, Yoga",Parque Lezama,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,DEFENSA,0,BRASIL,San Telmo,Comuna 1,,
62,-58.37443112013,-34.6376684619857,21,Actividades deportivas en Plazas,"Ritmos, Gym Local",Colombia,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"MONTES DE OCA, MANUEL",0,BRANDSEN,Barracas,Comuna 4,,
63,-58.405608797816,-34.6371220550183,19,Actividades deportivas en Plazas,"Gym Local, Danzas Circulares, Yoga, Ritmos",Patricios,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,CASEROS AV.,0,MONTEAGUDO,Parque Patricios,Comuna 4,,
64,-58.5251906584776,-34.6174769722906,17,Actividades deportivas en Plazas,Cardio local - Local total,Las Toscaneras - Villa Real,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,MOLIERE,2700,"VARELA, JOSE PEDRO",Villa Real,Comuna 10,1408,C1408DCX
65,-58.5059812828809,-34.5652039749862,16,Actividades deportivas en Plazas,"Aero Local, Acondicionamiento Físico, Ritmos, Gimnasia, Streching",Mujica,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,AIZPURUA,0,"PELLEGRINI, CARLOS E.",Saavedra,Comuna 12,,
